"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Tortricidae","Pandemis cerasana","Rosaceae","Sorbus","India"
"Tortricidae","Pandemis cerasana","Tiliaceae","Tilia","Europe"
"Tortricidae","Pandemis cerasana","Tiliaceae","Tilia","Holarctic"
"Tortricidae","Pandemis cerasana","Tiliaceae","Tilia","India"
"Tortricidae","Pandemis cerasana","Ulmaceae","Ulmus","Europe"
"Tortricidae","Pandemis cerasana","Ulmaceae","Ulmus procera","Old World"
"Tortricidae","Pandemis cerasana","Ericaceae","Vaccinium","Europe"
"Tortricidae","Pandemis chlorograpta","Pinaceae","Abies sachalinensis","Japan"
"Tortricidae","Pandemis chlorograpta","Rosaceae","Fragaria X ananassa","Japan"
"Tortricidae","Pandemis chlorograpta","Caprifoliaceae","Lonicera gracilipes","Japan"
"Tortricidae","Pandemis chlorograpta","Rosaceae","Malus baccata","Japan"
"Tortricidae","Pandemis chlorograpta","Rosaceae","Malus pumila","Japan"
"Tortricidae","Pandemis chlorograpta","Leguminosae (p)","Phaseolus","Japan"
"Tortricidae","Pandemis chlorograpta","Pinaceae","Picea jezoensis","Japan"
"Tortricidae","Pandemis chlorograpta","Polygonaceae","Polygonum cuspidatum","Japan"
"Tortricidae","Pandemis chlorograpta","Salicaceae","Populus nigra","Japan"
"Tortricidae","Pandemis chlorograpta","Fagaceae","Quercus cerris","Japan"
"Tortricidae","Pandemis chondrillana","Polyphagous","","Palaearctic"
"Tortricidae","Pandemis chondrillana","Malvaceae","Gossypium","Palaearctic"
"Tortricidae","Pandemis cinnamomeana","Polyphagous","","British Isles"
"Tortricidae","Pandemis cinnamomeana","Pinaceae","Abies alba","Europe"
"Tortricidae","Pandemis cinnamomeana","Pinaceae","Abies alba","Palaearctic"
"Tortricidae","Pandemis cinnamomeana","Aceraceae","Acer","Europe"
"Tortricidae","Pandemis cinnamomeana","Betulaceae","Betula","Palaearctic"
"Tortricidae","Pandemis cinnamomeana","Thymelaeaceae","Daphne gnidium","Palaearctic"
"Tortricidae","Pandemis cinnamomeana","Pinaceae","Larix decidua","Europe"
"Tortricidae","Pandemis cinnamomeana","Rosaceae","Malus pumila","Europe"
"Tortricidae","Pandemis cinnamomeana","Rosaceae","Malus pumila","Japan"
"Tortricidae","Pandemis cinnamomeana","Pinaceae","Picea sitchensis","Europe"
"Tortricidae","Pandemis cinnamomeana","Pinaceae","Pinus","Palaearctic"
