"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Arctiidae","Teracotona euprepia","Compositae","Aster","Afrotropical"
"Arctiidae","Teracotona euprepia","Compositae","Aster","East Africa"
"Arctiidae","Teracotona euprepia","Compositae","Bidens","Afrotropical"
"Arctiidae","Teracotona euprepia","Compositae","Bidens","East Africa"
"Arctiidae","Teracotona euprepia","Commelinaceae","Commelina","Afrotropical"
"Arctiidae","Teracotona euprepia","Commelinaceae","Commelina","East Africa"
"Arctiidae","Teracotona euprepia","Acanthaceae","Justicia","Afrotropical"
"Arctiidae","Teracotona euprepia","Acanthaceae","Justicia","East Africa"
"Arctiidae","Teracotona euprepia","Solanaceae","Nicotiana tabacum","Afrotropical"
"Arctiidae","Teracotona euprepia","Solanaceae","Nicotiana tabacum","East Africa"
"Arctiidae","Teracotona euprepia","Solanaceae","Nicotiana tabacum","Southern Africa"
"Arctiidae","Teracotona euprepia","Compositae","Zinnia","Afrotropical"
"Arctiidae","Teracotona euprepia","Compositae","Zinnia","East Africa"
"Arctiidae","Teracotona pardalina","Acanthaceae","Justicia","Afrotropical"
"Arctiidae","Teracotona pardalina","Acanthaceae","Justicia","East Africa"
"Arctiidae","Teracotona rhodophaea","Euphorbiaceae","","East Africa"
"Arctiidae","Teracotona rhodophaea","Commelinaceae","Commelina","Afrotropical"
"Arctiidae","Teracotona rhodophaea","Commelinaceae","Commelina","East Africa"
"Arctiidae","Teracotona submacula","Polyphagous","","Afrotropical"
"Arctiidae","Teracotona submacula","Polyphagous","","Afrotropical"
"Arctiidae","Teracotona submacula","Polyphagous","","South Africa"
"Arctiidae","Teracotona submacula","Chenopodiaceae","Beta vulgaris","Afrotropical"
"Arctiidae","Teracotona submacula","Chenopodiaceae","Beta vulgaris","South Africa"
"Arctiidae","Teracotona submacula","Cruciferae","Brassica oleracea","Afrotropical"
"Arctiidae","Teracotona submacula","Cruciferae","Brassica oleracea","South Africa"
"Arctiidae","Teracotona submacula","Compositae","Lactuca sativa","Afrotropical"
"Arctiidae","Teracotona submacula","Compositae","Lactuca sativa","South Africa"
"Arctiidae","Teracotona submacula","Leguminosae (p)","Phaseolus","Afrotropical"
"Arctiidae","Teracotona submacula","Leguminosae (p)","Phaseolus","South Africa"
"Arctiidae","Teracotona submacula","Compositae","Tagetes","Afrotropical"
