"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Yponomeutidae","Kessleria alternans","Saxifragaceae","Saxifraga oppositifolia","Palaearctic"
"Yponomeutidae","Kessleria alternans","Saxifragaceae","Saxifraga paniculata","Palaearctic"
"Yponomeutidae","Kessleria burmanni","Saxifragaceae","Saxifraga biflora","Palaearctic"
"Yponomeutidae","Kessleria burmanni","Saxifragaceae","Saxifraga caesia","Palaearctic"
"Yponomeutidae","Kessleria burmanni","Saxifragaceae","Saxifraga oppositifolia","Palaearctic"
"Yponomeutidae","Kessleria caflischiella","Saxifragaceae","Saxifraga moschata","Palaearctic"
"Yponomeutidae","Kessleria copidota","Coriariaceae","Coriaria","New Zealand"
"Yponomeutidae","Kessleria egregiella","Ericaceae","Erica arborea","Palaearctic"
"Yponomeutidae","Kessleria egregiella","Ericaceae","Erica scoparia","Palaearctic"
"Yponomeutidae","Kessleria fasciapennella","Parnassiaceae","Parnassia palustris","British Isles"
"Yponomeutidae","Kessleria fasciapennella","Parnassiaceae","Parnassia palustris","Europe"
"Yponomeutidae","Kessleria hauderi","Saxifragaceae","Saxifraga caesia","Austria"
"Yponomeutidae","Kessleria hauderi","Saxifragaceae","Saxifraga oppositifolia","Austria"
"Yponomeutidae","Kessleria inexpectata","Saxifragaceae","Saxifraga crustata","France"
"Yponomeutidae","Kessleria inexpectata","Saxifragaceae","Saxifraga paniculata","France"
"Yponomeutidae","Kessleria insubrica","Saxifragaceae","Saxifraga caesia","Italy"
"Yponomeutidae","Kessleria klimeschi","Saxifragaceae","Saxifraga crustata","Europe"
"Yponomeutidae","Kessleria klimeschi","Saxifragaceae","Saxifraga paniculata","Europe"
"Yponomeutidae","Kessleria nivescens","Saxifragaceae","Saxifraga caesia","Europe"
"Yponomeutidae","Kessleria nivescens","Saxifragaceae","Saxifraga tombeanensis","Europe"
"Yponomeutidae","Kessleria osyridellus","Oleaceae","Olea europaea","Italy"
"Yponomeutidae","Kessleria osyridellus","Santalaceae","Osyris alba","Palaearctic"
"Yponomeutidae","Kessleria petrobiella","Saxifragaceae","Saxifraga caesia","Yugoslavia"
"Yponomeutidae","Kessleria rufella","Grossulariaceae","Ribes nigrum","Palaearctic"
"Yponomeutidae","Kessleria rufella","Grossulariaceae","Ribes rubrum","Palaearctic"
"Yponomeutidae","Kessleria saxifragae","Saxifragaceae","Saxifraga aizoides","British Isles"
"Yponomeutidae","Kessleria saxifragae","Saxifragaceae","Saxifraga aizoides","Europe"
"Yponomeutidae","Kessleria saxifragae","Saxifragaceae","Saxifraga aizoides","Palaearctic"
"Yponomeutidae","Kessleria saxifragae","Saxifragaceae","Saxifraga grisebachii","Europe"
"Yponomeutidae","Kessleria saxifragae","Saxifragaceae","Saxifraga hirsuta","British Isles"
