"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Saturniidae","Hemileuca nevadensis-complex","Salicaceae","Salix discolor","USA"
"Saturniidae","Hemileuca nevadensis-complex","Salicaceae","Salix exigua","USA"
"Saturniidae","Hemileuca nevadensis-complex","Salicaceae","Salix pedicellaris","USA"
"Saturniidae","Hemileuca nevadensis-complex","Salicaceae","Salix petiolaris","USA"
"Saturniidae","Hemileuca nevadensis-complex","Rosaceae","Spiraea alba","Canada"
"Saturniidae","Hemileuca nevadensis-complex","Rosaceae","Spiraea alba","Nearctic"
"Saturniidae","Hemileuca nevadensis-complex","Rosaceae","Spiraea alba","USA"
"Saturniidae","Hemileuca nevadensis-complex","Ericaceae","Vaccinium macrocarpon","Nearctic"
"Saturniidae","Hemileuca nevadensis-complex","Ericaceae","Vaccinium macrocarpon","USA"
"Saturniidae","Hemileuca nevadensis-complex","Blechnaceae","Woodwardia virginica","USA"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Cercocarpus betuloides","Nearctic"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Cercocarpus montanus","USA"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Chamaebatiaria millefolium","USA"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Purshia","USA"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Purshia tridentata","Nearctic"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Purshia tridentata","USA"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Pyracantha","Nearctic"
"Saturniidae","Hemileuca nuttalli","Rosaceae","Pyracantha","Nearctic"
"Saturniidae","Hemileuca nuttalli","Grossulariaceae","Ribes cereum","USA"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos","Nearctic"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos","USA"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos albus","Nearctic"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos albus","Nearctic"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos oreophilus","Nearctic"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos oreophilus","Nearctic"
"Saturniidae","Hemileuca nuttalli","Caprifoliaceae","Symphoricarpos oreophilus","USA"
"Saturniidae","Hemileuca oliviae","Gramineae","","Nearctic"
"Saturniidae","Hemileuca oliviae","Gramineae","","New World"
"Saturniidae","Hemileuca oliviae","Gramineae","","New World"
"Saturniidae","Hemileuca oliviae","Gramineae","Andropogon hallii","Nearctic"
