"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Cosmopterigidae","Pyroderces badia","Detritophagous","","Nearctic"
"Cosmopterigidae","Pyroderces badia","Orchidaceae","","USA"
"Cosmopterigidae","Pyroderces badia","Cruciferae","Brassica","Nearctic"
"Cosmopterigidae","Pyroderces badia","Cruciferae","Brassica oleracea","Nearctic"
"Cosmopterigidae","Pyroderces badia","Cruciferae","Brassica oleracea","USA"
"Cosmopterigidae","Pyroderces badia","Labiatae","Calamintha","USA"
"Cosmopterigidae","Pyroderces badia","Leguminosae (c)","Cassia occidentalis","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus","USA"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus aurantiifolia","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus maxima","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus maxima","USA"
"Cosmopterigidae","Pyroderces badia","Rutaceae","Citrus sinensis","USA"
"Cosmopterigidae","Pyroderces badia","Palmae","Cocos nucifera","Nearctic"
"Cosmopterigidae","Pyroderces badia","Palmae","Cocos nucifera","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rubiaceae","Coffea","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rosaceae","Eriobotrya japonica","Nearctic"
"Cosmopterigidae","Pyroderces badia","Malvaceae","Gossypium","USA"
"Cosmopterigidae","Pyroderces badia","Malvaceae","Gossypium thurberi","USA"
"Cosmopterigidae","Pyroderces badia","Lythraceae","Lagerstroemia indica","USA"
"Cosmopterigidae","Pyroderces badia","Musaceae","Musa","Nearctic"
"Cosmopterigidae","Pyroderces badia","Musaceae","Musa","USA"
"Cosmopterigidae","Pyroderces badia","Musaceae","Musa acuminata","Nearctic"
"Cosmopterigidae","Pyroderces badia","Apocynaceae","Nerium oleander","USA"
"Cosmopterigidae","Pyroderces badia","Pinaceae","Pinus","Nearctic"
"Cosmopterigidae","Pyroderces badia","Pinaceae","Pinus elliottii","USA"
"Cosmopterigidae","Pyroderces badia","Pinaceae","Pinus pinaster","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rosaceae","Prunus persica","Nearctic"
"Cosmopterigidae","Pyroderces badia","Rosaceae","Prunus persica","USA"
"Cosmopterigidae","Pyroderces badia","Euphorbiaceae","Ricinus communis","USA"
