"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Geometridae","Perizoma custodiata","Chenopodiaceae","Grayia spinosa","USA"
"Geometridae","Perizoma didymata","Polyphagous","","British Isles"
"Geometridae","Perizoma didymata","Umbelliferae","Anthriscus sylvestris","Finland"
"Geometridae","Perizoma didymata","Rosaceae","Filipendula ulmaria","Finland"
"Geometridae","Perizoma didymata","Oleaceae","Fraxinus excelsior","Finland"
"Geometridae","Perizoma didymata","Geraniaceae","Geranium silvaticum","Finland"
"Geometridae","Perizoma didymata","Rosaceae","Geum rivale","Finland"
"Geometridae","Perizoma didymata","Leguminosae (p)","Lathyrus pratensis","Finland"
"Geometridae","Perizoma didymata","Fagaceae","Quercus robur","Finland"
"Geometridae","Perizoma didymata","Scrophulariaceae","Scrophularia nodosa","Finland"
"Geometridae","Perizoma didymata","Ericaceae","Vaccinium myrtillus","Finland"
"Geometridae","Perizoma flavofasciata","Caryophyllaceae","Silene","British Isles"
"Geometridae","Perizoma flavofasciata","Caryophyllaceae","Silene","Finland"
"Geometridae","Perizoma flavofasciata","Caryophyllaceae","Silene dioica","Finland"
"Geometridae","Perizoma flavofasciata","Caryophyllaceae","Silene pratensis","Finland"
"Geometridae","Perizoma hydrata","Caryophyllaceae","","Finland"
"Geometridae","Perizoma hydrata","Caryophyllaceae","Silene nutans","Finland"
"Geometridae","Perizoma hydrata","Caryophyllaceae","Silene pratensis","Finland"
"Geometridae","Perizoma hydrata","Caryophyllaceae","Silene vulgaris","Finland"
"Geometridae","Perizoma impromissata","Basellaceae","Boussingaultia boselloides","Brazil"
"Geometridae","Perizoma impromissata","Compositae","Cichorium intybus","Brazil"
"Geometridae","Perizoma impromissata","Compositae","Taraxacum officinale","Brazil"
"Geometridae","Perizoma lugdunaria","Caryophyllaceae","Cucubalus baccifer","Palaearctic"
"Geometridae","Perizoma minorata","Scrophulariaceae","Euphrasia","British Isles"
"Geometridae","Perizoma minorata","Scrophulariaceae","Euphrasia","Finland"
"Geometridae","Perizoma parallelolineata","Rubiaceae","Galium","Finland"
"Geometridae","Perizoma parallelolineata","Polygonaceae","Rumex","Finland"
"Geometridae","Perizoma parallelolineata","Compositae","Taraxacum","Finland"
"Geometridae","Perizoma sagittata","Ranunculaceae","Thalictrum","Finland"
"Geometridae","Perizoma sagittata","Ranunculaceae","Thalictrum aquilegifolium","Finland"
