"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Agrotis venerabilis","Polyphagous","","Nearctic"
"Noctuidae","Agrotis venerabilis","Polyphagous","","Nearctic"
"Noctuidae","Agrotis venerabilis","Gramineae","Avena sativa","Nearctic"
"Noctuidae","Agrotis venerabilis","Leguminosae (p)","Medicago sativa","Nearctic"
"Noctuidae","Agrotis venerabilis","Leguminosae (p)","Melilotus officinalis","Nearctic"
"Noctuidae","Agrotis venerabilis","Solanaceae","Nicotiana","Nearctic"
"Noctuidae","Agrotis venerabilis","Solanaceae","Nicotiana tabacum","Nearctic"
"Noctuidae","Agrotis venerabilis","Caryophyllaceae","Stellaria media","Nearctic"
"Noctuidae","Agrotis venerabilis","Leguminosae (p)","Trifolium","Nearctic"
"Noctuidae","Agrotis venerabilis","Leguminosae (p)","Trifolium repens","Nearctic"
"Noctuidae","Agrotis venerabilis","Leguminosae (p)","Trifolium repens","USA"
"Noctuidae","Agrotis venerabilis","Violaceae","Viola tricolor","Nearctic"
"Noctuidae","Agrotis venerabilis","Violaceae","Viola X wittrockiana","Nearctic"
"Noctuidae","Agrotis venerabilis","Gramineae","Zea mays","Nearctic"
"Noctuidae","Agrotis vestigialis","Polyphagous","","British Isles"
"Noctuidae","Agrotis vestigialis","Gramineae","","British Isles"
"Noctuidae","Agrotis vestigialis","Gramineae","","Palaearctic"
"Noctuidae","Agrotis vestigialis","Rubiaceae","Galium","Palaearctic"
"Noctuidae","Agrotis vestigialis","Pinaceae","Larix","Palaearctic"
"Noctuidae","Agrotis vestigialis","Pinaceae","Picea","Palaearctic"
"Noctuidae","Agrotis vestigialis","Pinaceae","Pinus","Palaearctic"
"Noctuidae","Agrotis vestigialis","Pinaceae","Pinus sylvestris","Finland"
"Noctuidae","Agrotis vestigialis","Caryophyllaceae","Stellaria","Palaearctic"
"Noctuidae","Agrotis vetusta","Asparagaceae","Asparagus","Nearctic"
"Noctuidae","Agrotis vetusta","Solanaceae","Atropa bella-donna","Nearctic"
"Noctuidae","Agrotis vetusta","Cruciferae","Brassica oleracea","Nearctic"
"Noctuidae","Agrotis vetusta","Cruciferae","Brassica rapa","Nearctic"
"Noctuidae","Agrotis vetusta","Cucurbitaceae","Citrullus lanatus","Nearctic"
"Noctuidae","Agrotis vetusta","Cucurbitaceae","Cucumis melo","Nearctic"
"Noctuidae","Agrotis vetusta","Malvaceae","Gossypium herbaceum","Nearctic"
