"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Dissomeria crenata","West Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Dovyalis","Afrotropical"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Dovyalis","East Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Dovyalis rhamnoides","Southern Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Homalium","Afrotropical"
"Nymphalidae","Phalanta eurytis","Celastraceae","Maytenus","Afrotropical"
"Nymphalidae","Phalanta eurytis","Celastraceae","Maytenus buchanii","East Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Oncoba","Afrotropical"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Oncoba spinosa","West Africa"
"Nymphalidae","Phalanta eurytis","Salicaceae","Populus","Afrotropical"
"Nymphalidae","Phalanta eurytis","Salicaceae","Populus","Southern Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Scolopia","Afrotropical"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Scolopia","East Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Scolopia","Southern Africa"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Trimeria","Afrotropical"
"Nymphalidae","Phalanta eurytis","Flacourtiaceae","Trimeria grandifolia","Afrotropical"
"Nymphalidae","Phalanta exulans","Violaceae","Melicytus","Samoa"
"Nymphalidae","Phalanta phalantha","Salicaceae","","India"
"Nymphalidae","Phalanta phalantha","Celastraceae","","India"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","","India"
"Nymphalidae","Phalanta phalantha","Primulaceae","Androsace","India"
"Nymphalidae","Phalanta phalantha","Acanthaceae","Barleria prionitis","India"
"Nymphalidae","Phalanta phalantha","Rubiaceae","Canthium","Afrotropical"
"Nymphalidae","Phalanta phalantha","Rubiaceae","Canthium parviflorum","Hong Kong"
"Nymphalidae","Phalanta phalantha","Rubiaceae","Coffea arabica","Kenya"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","Dovyalis","Afrotropical"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","Dovyalis","East Africa"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","Dovyalis","East Africa"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","Dovyalis","India"
"Nymphalidae","Phalanta phalantha","Flacourtiaceae","Dovyalis caffra","Malawi"
