"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lycaenidae","Candalides heathi","Plantaginaceae","","Australasia"
"Lycaenidae","Candalides heathi","Labiatae","","Australasia"
"Lycaenidae","Candalides heathi","Scrophulariaceae","","Australasia"
"Lycaenidae","Candalides helenita","Sterculiaceae","","Australasia"
"Lycaenidae","Candalides helenita","Euphorbiaceae","","Australasia"
"Lycaenidae","Candalides helenita","Lauraceae","","Australasia"
"Lycaenidae","Candalides helenita","Polygonaceae","","New Guinea"
"Lycaenidae","Candalides hyacinthina","Lauraceae","","Australasia"
"Lycaenidae","Candalides margarita","Loranthaceae","","Australasia"
"Lycaenidae","Candalides margarita","Sapindaceae","","Australasia"
"Lycaenidae","Candalides urumelia","Rutaceae","","Australasia"
"Lycaenidae","Candalides xanthospilos","Thymelaeaceae","","Australasia"
"Lycaenidae","Capys alphaeus","Proteaceae","","Afrotropical"
"Lycaenidae","Capys alphaeus","Proteaceae","Protea","Afrotropical"
"Lycaenidae","Capys alpheus","Proteaceae","Protea repens","South Africa"
"Lycaenidae","Capys bamptoni","Proteaceae","","Afrotropical"
"Lycaenidae","Capys bamptoni","Proteaceae","Protea","South Africa"
"Lycaenidae","Capys brunneus","Proteaceae","","Afrotropical"
"Lycaenidae","Capys calpurnia","Proteaceae","","Afrotropical"
"Lycaenidae","Capys calpurnia","Proteaceae","Protea","South Africa"
"Lycaenidae","Capys catharus","Proteaceae","","Afrotropical"
"Lycaenidae","Capys catharus","Proteaceae","Protea","Afrotropical"
"Lycaenidae","Capys catharus","Proteaceae","Protea","East Africa"
"Lycaenidae","Capys catharus","Proteaceae","Protea","East Africa"
"Lycaenidae","Capys collinsi","Proteaceae","","Afrotropical"
"Lycaenidae","Capys collinsi","Proteaceae","Protea","South Africa"
"Lycaenidae","Capys connexivus","Proteaceae","","Afrotropical"
"Lycaenidae","Capys cupreus","Proteaceae","","Afrotropical"
"Lycaenidae","Capys cupreus","Proteaceae","Protea","South Africa"
"Lycaenidae","Capys disjunctus","Proteaceae","","Afrotropical"
