"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Standfussiana simulans","Gramineae","","Finland"
"Noctuidae","Standfussiana simulans","Polygonaceae","Rumex","Finland"
"Noctuidae","Standfussiana simulans","Compositae","Taraxacum","Finland"
"Noctuidae","Staurophora celsia","Gramineae","","Palaearctic"
"Noctuidae","Staurophora celsia","Gramineae","Calamagrostis epigejos","Finland"
"Noctuidae","Stenbergmania albomaculalis","Fagaceae","Quercus acutissima","Japan"
"Noctuidae","Stenopterygia sp.","Ochnaceae","Ochna","East Africa"
"Noctuidae","Stenopterygia subcurva","Ochnaceae","Ochna","Oriental"
"Noctuidae","Stenopterygia subcurva","Ochnaceae","Ochna squarrosa","India"
"Noctuidae","Stenopterygia subcurva","Ochnaceae","Ochna squarrosa","India"
"Noctuidae","Stenopterygia subcurva","Ochnaceae","Ochna squarrosa","Sri Lanka"
"Noctuidae","Stictoptera bisexualis","Guttiferae","Calophyllum inophyllum","Fiji"
"Noctuidae","Stictoptera columba","Guttiferae","Garcinia mangostana","Thailand"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Calophyllum","Indonesia"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Calophyllum","Oriental"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Calophyllum inophyllum","Hawaii"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Calophyllum inophyllum","India"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Calophyllum inophyllum","Indo-Australian"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Clusia rosea","Hawaii"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Clusia rosea","Indo-Australian"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia","Oriental"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia","Sri Lanka"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia cambogia","Hawaii"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia mangostana","Indo-Australian"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia mangostana","Malaysia"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia mangostana","Thailand"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia mangostana","West Malaysia"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia obovalis","Guam"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Garcinia xanthochymus","Indo-Australian"
"Noctuidae","Stictoptera cucullioides","Guttiferae","Mammea americana","Hawaii"
