"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Arctiidae","Nyctemera adversata","Compositae","Senecio","Oriental"
"Arctiidae","Nyctemera amica","Compositae","Senecio","Australasia"
"Arctiidae","Nyctemera amica","Compositae","Senecio","Australia"
"Arctiidae","Nyctemera annulata","Detritophagous","","New Zealand"
"Arctiidae","Nyctemera annulata","Compositae","Brachyglottis repanda","New Zealand"
"Arctiidae","Nyctemera annulata","Compositae","Senecio","New Zealand"
"Arctiidae","Nyctemera annulata","Compositae","Senecio glomeratus","New Zealand"
"Arctiidae","Nyctemera apicalis","Compositae","Emilia discifolia","East Africa"
"Arctiidae","Nyctemera apicalis","Proteaceae","Macadamia","Malawi"
"Arctiidae","Nyctemera apicalis","Compositae","Senecio","Afrotropical"
"Arctiidae","Nyctemera apicalis","Compositae","Senecio","East Africa"
"Arctiidae","Nyctemera baulus","Cruciferae","Brassica","Oriental"
"Arctiidae","Nyctemera baulus","Cruciferae","Brassica oleracea","Fiji"
"Arctiidae","Nyctemera baulus","Compositae","Crassocephalum","Oriental"
"Arctiidae","Nyctemera baulus","Compositae","Crassocephalum crepidioides","Fiji"
"Arctiidae","Nyctemera baulus","Compositae","Emilia","Oriental"
"Arctiidae","Nyctemera baulus","Compositae","Emilia sonchifolia","Fiji"
"Arctiidae","Nyctemera baulus","Leguminosae (p)","Phaseolus lunatus","West Malaysia"
"Arctiidae","Nyctemera calcicola","Compositae","Senecio","Oriental"
"Arctiidae","Nyctemera coleta","Compositae","","South-East Asia"
"Arctiidae","Nyctemera coleta","Compositae","","Sri Lanka"
"Arctiidae","Nyctemera coleta","Compositae","Gynura","Oriental"
"Arctiidae","Nyctemera coleta","Compositae","Gynura","South-East Asia"
"Arctiidae","Nyctemera coleta","Compositae","Gynura","Sri Lanka"
"Arctiidae","Nyctemera coleta","Compositae","Gynura","West Malaysia"
"Arctiidae","Nyctemera coleta","Compositae","Gynura drymophila","Thailand"
"Arctiidae","Nyctemera insulare","Compositae","Faujasia flexuosa","Afrotropical"
"Arctiidae","Nyctemera insulare","Malvaceae","Hibiscus","Afrotropical"
"Arctiidae","Nyctemera itakina","Compositae","Senecio","Afrotropical"
"Arctiidae","Nyctemera itokina","Compositae","Senecio","East Africa"
