"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Douglasiidae","Tinagma ocnerostomella","Boraginaceae","Echium vulgare","British Isles"
"Douglasiidae","Tinagma perdicella","Rosaceae","Fragaria vesca","Palaearctic"
"Douglasiidae","Tinagma perdicella","Rosaceae","Potentilla reptans","Palaearctic"
"Drepanidae","Achlya flavicornis","Betulaceae","Alnus glutinosa","Finland"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula","British Isles"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula","Finland"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula pendula","British Isles"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula pendula","Europe"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula pendula","Finland"
"Drepanidae","Achlya flavicornis","Betulaceae","Betula pubescens","Finland"
"Drepanidae","Achlya flavicornis","Salicaceae","Populus tremula","Finland"
"Drepanidae","Aethiopsestis austrina","Ebenaceae","Diospyros pubescens","South Africa"
"Drepanidae","Aethiopsestis austrina","Ebenaceae","Euclea undulata","South Africa"
"Drepanidae","Agnidra scabiosa","Fagaceae","Castanea crenata","Japan"
"Drepanidae","Agnidra scabiosa","Fagaceae","Quercus acutissima","Japan"
"Drepanidae","Agnidra scabiosa","Fagaceae","Quercus mongolica","Japan"
"Drepanidae","Agnidra scabiosa","Fagaceae","Quercus serrata","Japan"
"Drepanidae","Agnidra scabiosa","Fagaceae","Quercus variabilis","Japan"
"Drepanidae","Albara reversaria","Myricaceae","Myrica","Taiwan"
"Drepanidae","Callidrepana argenteola","Anacardiaceae","Mangifera","Oriental"
"Drepanidae","Callidrepana micacea","Rhizophoraceae","Bruguiera","Andaman Islands"
"Drepanidae","Callidrepana sp.","Rhizophoraceae","Bruguiera","Andaman Islands"
"Drepanidae","Ceranemota crumbi","Rosaceae","Sorbus sitchensis","Nearctic"
"Drepanidae","Ceranemota fasciata","Rosaceae","Amelanchier alnifolia","Nearctic"
"Drepanidae","Ceranemota fasciata","Rosaceae","Prunus ilicifolia","Nearctic"
"Drepanidae","Ceranemota fasciata","Rosaceae","Prunus virginiana","Nearctic"
"Drepanidae","Ceranemota improvisa","Rosaceae","Prunus domestica","USA"
"Drepanidae","Ceranemota improvisa","Rosaceae","Prunus virginiana","Nearctic"
"Drepanidae","Cilix asiatica","Rosaceae","Malus pumila","Israel"
"Drepanidae","Cilix glaucata","Rosaceae","","British Isles"
