"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Mesapamea secalis","Gramineae","","Palaearctic"
"Noctuidae","Mesapamea secalis","Gramineae","Alopecurus","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Avena sativa","Old World"
"Noctuidae","Mesapamea secalis","Gramineae","Dactylis","Old World"
"Noctuidae","Mesapamea secalis","Gramineae","Elymus arenarius","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Elytrigia repens","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Hordeum vulgare","Old World"
"Noctuidae","Mesapamea secalis","Juncaceae","Luzula","Old World"
"Noctuidae","Mesapamea secalis","Juncaceae","Luzula pilosa","British Isles"
"Noctuidae","Mesapamea secalis","Gramineae","Phleum","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Secale cereale","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Secale cereale","Old World"
"Noctuidae","Mesapamea secalis","Gramineae","Triticum","Old World"
"Noctuidae","Mesapamea secalis","Gramineae","Triticum aestivum","Finland"
"Noctuidae","Mesapamea secalis","Gramineae","Zea mays","Old World"
"Noctuidae","Mesapamea stipata","Gramineae","","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Avena","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Avena sativa","Nearctic"
"Noctuidae","Mesapamea stipata","Cyperaceae","Carex","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Elymus canadensis","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Leymus condensatus","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Muhlenbergia mexicana","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Phleum pratense","Nearctic"
"Noctuidae","Mesapamea stipata","Polygonaceae","Rumex","USA"
"Noctuidae","Mesapamea stipata","Gramineae","Setaria viridis","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Spartina pectinata","Nearctic"
"Noctuidae","Mesapamea stipata","Leguminosae (p)","Trifolium","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Zea","Nearctic"
"Noctuidae","Mesapamea stipata","Gramineae","Zea mays","Nearctic"
"Noctuidae","Mesogenea varians","Proteaceae","Macadamia","Malawi"
