"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Catocala amatrix","Salicaceae","Populus","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Populus","USA"
"Noctuidae","Catocala amatrix","Salicaceae","Populus deltoides","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Populus fremontii","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Populus grandidentata","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Populus nigra","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Populus tremuloides","Nearctic"
"Noctuidae","Catocala amatrix","Salicaceae","Salix","Nearctic"
"Noctuidae","Catocala amatrix?","Juglandaceae","Juglans","Nearctic"
"Noctuidae","Catocala amestris","Leguminosae (p)","Amorpha","USA"
"Noctuidae","Catocala amestris","Leguminosae (p)","Amorpha canescens","USA"
"Noctuidae","Catocala amestris","Leguminosae (p)","Amorpha fruticosa","Nearctic"
"Noctuidae","Catocala amestris","Leguminosae (p)","Amorpha fruticosa","USA"
"Noctuidae","Catocala amestris","Leguminosae (p)","Robinia","Nearctic"
"Noctuidae","Catocala amestris","Leguminosae (p)","Robinia pseudoacacia","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus","Nearctic"
"Noctuidae","Catocala amica","Fagaceae","Quercus alba","Nearctic"
"Noctuidae","Catocala amica","Fagaceae","Quercus alba","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus coccinea","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus coccinea/rubra","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus ilicifolia","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus macrocarpa","Nearctic"
"Noctuidae","Catocala amica","Fagaceae","Quercus macrocarpa","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus prinoides","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus prinus","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus rubra","Canada"
"Noctuidae","Catocala amica","Fagaceae","Quercus rubra","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus stellata","USA"
"Noctuidae","Catocala amica","Fagaceae","Quercus velutina","USA"
"Noctuidae","Catocala andromache","Fagaceae","Quercus dumosa","USA"
