"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Batrachedridae","Homaledra sabalella","Palmae","Sabal palmetto","USA"
"Batrachedridae","Homaledra sabalella","Palmae","Serenoa repens","New World"
"Batrachedridae","Homaledra sabalella","Palmae","Serenoa repens","USA"
"Batrachedridae","Homaledra sabalella","Palmae","Syagrus romanzoffianum","Neotropical"
"Batrachedridae","Homaledra sabalella","Palmae","Washingtonia robusta","New World"
"Batrachedridae","Homaledra sabalella","Palmae","Washingtonia robusta","Puerto Rico"
"Batrachedridae","Homaledra sabalella","Palmae","Washingtonia robusta","USA"
"Blastobasidae","","Detritophagous","","Nearctic"
"Blastobasidae","Auximobasis agrestis","Rubiaceae","Coffea","Neotropical"
"Blastobasidae","Auximobasis bromeliae","Bromeliaceae","Bromelia","Neotropical"
"Blastobasidae","Auximobasis coffeaella","Alliaceae","Allium sativum","Neotropical"
"Blastobasidae","Auximobasis coffeaella","Rubiaceae","Coffea","Brazil"
"Blastobasidae","Auximobasis coffeaella","Rubiaceae","Coffea","Brazil"
"Blastobasidae","Auximobasis coffeaella","Rubiaceae","Coffea","El Salvador"
"Blastobasidae","Auximobasis coffeaella","Rubiaceae","Coffea","Neotropical"
"Blastobasidae","Blastobasis","Alliaceae","Allium ascalonicum","Thailand"
"Blastobasidae","Blastobasis","Theaceae","Camellia sinensis","West Malaysia"
"Blastobasidae","Blastobasis","Rubiaceae","Coffea quillou","West Malaysia"
"Blastobasidae","Blastobasis","Guttiferae","Mesua ferrea","Malaysia"
"Blastobasidae","Blastobasis","Guttiferae","Mesua ferrea","West Malaysia"
"Blastobasidae","Blastobasis argillacea","Nyctaginaceae","Pisonia","Neotropical"
"Blastobasidae","Blastobasis atmosema","Insecta","","Argentina"
"Blastobasidae","Blastobasis byrsodepta","Zingiberaceae","Zingiber officinale","Sierra Leone"
"Blastobasidae","Blastobasis chloroptris","Rubiaceae","Coffea","India"
"Blastobasidae","Blastobasis chloroptris","Rubiaceae","Coffea","Malaysia"
"Blastobasidae","Blastobasis chloroptris","Rubiaceae","Coffea liberica","West Malaysia"
"Blastobasidae","Blastobasis chloroptris","Palmae","Elaeis guineensis","Oriental"
"Blastobasidae","Blastobasis confamulella","Rosaceae","Crataegus","USA"
"Blastobasidae","Blastobasis crassifica","Leguminosae (p)","Crotalaria juncea","India"
"Blastobasidae","Blastobasis crassifica","Leguminosae (p)","Crotalaria juncea","India"
