"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora","Brazil"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora alata","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora auriculata","Trinidad & Tobago"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora candida","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora cerradensis","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora cirrhiflora","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora citrifolia","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora edulis","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora faroana","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora mansii","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora mucronata","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora ovalis","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora pentagona","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora rhamnifolia","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora spinosa","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora suberosa","Neotropical"
"Nymphalidae","Heliconius sara","Passifloraceae","Passiflora truncata","Neotropical"
"Nymphalidae","Heliconius timareta","Passifloraceae","Passiflora alata","Neotropical"
"Nymphalidae","Heliconius wallacei","Passifloraceae","Passiflora","Neotropical"
"Nymphalidae","Heliconius wallacei","Passifloraceae","Passiflora coccinea","Neotropical"
"Nymphalidae","Heliconius wallacei","Passifloraceae","Passiflora glandulosa","Neotropical"
"Nymphalidae","Heliconius wallacei","Passifloraceae","Passiflora quadriglandulosa","Trinidad & Tobago"
"Nymphalidae","Heliconius wallacei","Passifloraceae","Passiflora vitifolia","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora actinia","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora alata","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora caerulea","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora elegans","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora haematostigma","Neotropical"
"Nymphalidae","Heliconius wernickei","Passifloraceae","Passiflora jileki","Neotropical"
