"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Geometridae","Idiodes apicata","Dennstaedtiaceae","Pteridium","Australia"
"Geometridae","Idiodes saxaria","Dennstaedtiaceae","Pteridium","South Africa"
"Geometridae","Idiotephria amelia","Fagaceae","Fagus crenata","Japan"
"Geometridae","Idiotephria amelia","Fagaceae","Quercus acutissima","Japan"
"Geometridae","Idiotephria amelia","Fagaceae","Quercus mongolica","Japan"
"Geometridae","Idiotephria amelia","Fagaceae","Quercus myrsinifolia","Japan"
"Geometridae","Idiotephria amelia","Fagaceae","Quercus serrata","Japan"
"Geometridae","Idiotephria amelia","Fagaceae","Quercus variabilis","Japan"
"Geometridae","Idiotephria debilitata","Fagaceae","Quercus cerris","Japan"
"Geometridae","Idiotephria debilitata","Fagaceae","Quercus serrata","Japan"
"Geometridae","Inurois asahinai","Aceraceae","Acer sieboldianum","Japan"
"Geometridae","Inurois asahinai","Rosaceae","Prunus donarium","Japan"
"Geometridae","Inurois fletcheri","Aceraceae","Acer","Japan"
"Geometridae","Inurois fletcheri","Ulmaceae","Celtis sinensis","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Chaenomeles speciosa","Japan"
"Geometridae","Inurois fletcheri","Ebenaceae","Diospyros kaki","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Malus halliana","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Malus pumila","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus armeniaca","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus grayana","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus mume","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus persica","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus salicina","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus tomentosa","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Prunus yedoensis","Japan"
"Geometridae","Inurois fletcheri","Rosaceae","Pyrus pyrifolia","Japan"
"Geometridae","Inurois fletcheri","Fagaceae","Quercus acutissima","Japan"
"Geometridae","Inurois fletcheri","Fagaceae","Quercus serrata","Japan"
"Geometridae","Inurois fletcheri","Fagaceae","Quercus serrata","Japan"
