"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Geometridae","Semiothisa granitata","Pinaceae","Picea","USA"
"Geometridae","Semiothisa granitata","Pinaceae","Picea engelmannii","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Picea glauca","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Picea glauca","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Picea mariana","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Picea mariana","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Picea sitchensis","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Pinus strobus","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Pinus strobus","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Pinus virginiana","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Pseudotsuga menziesii","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Pseudotsuga menziesii","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Tsuga","Nearctic"
"Geometridae","Semiothisa granitata","Pinaceae","Tsuga canadensis","Nearctic"
"Geometridae","Semiothisa granitata-group","Pinaceae","Abies amabilis","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Abies balsamea","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Abies grandis","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Abies lasiocarpa","Canada"
"Geometridae","Semiothisa granitata-group","Betulaceae","Alnus rubra","Canada"
"Geometridae","Semiothisa granitata-group","Betulaceae","Betula","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Larix laricina","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Larix occidentalis","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Picea abies","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Picea glauca","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Picea mariana","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Picea rubens","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Picea sitchensis","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Pinus banksiana","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Pinus contorta","Canada"
"Geometridae","Semiothisa granitata-group","Pinaceae","Pinus engelmannii","Canada"
