"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Elachistidae","Biselachista ornithopodella","Cyperaceae","Carex ornithopoda","Palaearctic"
"Elachistidae","Biselachista salinaris","Cyperaceae","Bolboschoenus maritimus","Nearctic"
"Elachistidae","Biselachista scirpi","Juncaceae","Juncus compressus","British Isles"
"Elachistidae","Biselachista scirpi","Juncaceae","Juncus compressus","Palaearctic"
"Elachistidae","Biselachista scirpi","Cyperaceae","Scirpus maritimus","British Isles"
"Elachistidae","Biselachista scirpi","Cyperaceae","Scirpus maritimus","Palaearctic"
"Elachistidae","Biselachista serricornis","Cyperaceae","Carex","British Isles"
"Elachistidae","Biselachista serricornis","Cyperaceae","Carex sylvatica","British Isles"
"Elachistidae","Biselachista serricornis","Cyperaceae","Carex sylvatica","Palaearctic"
"Elachistidae","Biselachista trapeziella","Juncaceae","Luzula","British Isles"
"Elachistidae","Biselachista trapeziella","Juncaceae","Luzula pilosa","Palaearctic"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex","British Isles"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex acutiformis","British Isles"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex acutiformis","Palaearctic"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex flacca","Palaearctic"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex paniculata","British Isles"
"Elachistidae","Biselachista utonella","Cyperaceae","Carex paniculata","Palaearctic"
"Elachistidae","Calamograptis argoceros","Gramineae","","Oriental"
"Elachistidae","Canariana cedronellae","Labiatae","Bystropogon plumosus","Canary Islands"
"Elachistidae","Canariana cedronellae","Labiatae","Cedronella canariensis","Canary Islands"
"Elachistidae","Canariana cedronellae","Labiatae","Lavandula multifida","Canary Islands"
"Elachistidae","Canariana cedronellae","Labiatae","Lavandula stoechas","Canary Islands"
"Elachistidae","Coelopoeta glutinosi","Hydrophyllaceae","Eriodictyon californicum","Nearctic"
"Elachistidae","Coelopoeta glutinosi","Hydrophyllaceae","Eriodictyon glutinosum","Nearctic"
"Elachistidae","Coelopoeta glutinosi","Hydrophyllaceae","Eriodictyon glutinosum","Nearctic"
"Elachistidae","Coelopoeta glutinosi","Hydrophyllaceae","Eriodictyon glutinosum","Nearctic"
"Elachistidae","Coelopoeta glutinosi","Hydrophyllaceae","Eriodictyon trichocalyx","Nearctic"
"Elachistidae","Coelopoeta sp. n.","Hydrophyllaceae","Phacelia californica","USA"
"Elachistidae","Cosmiotes consortella","Gramineae","","British Isles"
"Elachistidae","Cosmiotes exactella","Gramineae","Poa nemoralis","Palaearctic"
