"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lasiocampidae","Kunugia latipennis","Guttiferae","Mesua ferrea","Thailand"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus elliottii","Thailand"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus kesiya","Oriental"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus kesiya","Thailand"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus khasya","India"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus khasya","Indian subregion"
"Lasiocampidae","Kunugia latipennis","Pinaceae","Pinus markusii","Thailand"
"Lasiocampidae","Kunugia latipennis","Dipterocarpaceae","Shorea robusta","India"
"Lasiocampidae","Kunugia latipennis","Dipterocarpaceae","Shorea robusta","Indian subregion"
"Lasiocampidae","Kunugia latipennis","Myrtaceae","Syzygium cumini","India"
"Lasiocampidae","Kunugia latipennis","Myrtaceae","Syzygium cumini","Indian subregion"
"Lasiocampidae","Kunugia latipennis","Lythraceae","Woodfordia fruticosa","India"
"Lasiocampidae","Kunugia placida","Pinaceae","Pinus","India"
"Lasiocampidae","Kunugia sp.","Combretaceae","Terminalia catappa","Thailand"
"Lasiocampidae","Kunugia undans","Salicaceae","Populus","Japan"
"Lasiocampidae","Kunugia undans","Fagaceae","Quercus","Japan"
"Lasiocampidae","Kunugia yamadai","Fagaceae","Quercus","Japan"
"Lasiocampidae","Labedera","Lauraceae","Persea americana","Brazil"
"Lasiocampidae","Labedera hirtipes","Anacardiaceae","Schinus terebinthifolius","Brazil"
"Lasiocampidae","Labedera nigrescens","Myrtaceae","Psidium guajava","Brazil"
"Lasiocampidae","Labedera proxima","Polyphagous","","Argentina"
"Lasiocampidae","Labedera proxima","Leguminosae (m)","Acacia","Brazil"
"Lasiocampidae","Labedera proxima","Leguminosae (c)","Caesalpinia","Brazil"
"Lasiocampidae","Labedera proxima","Myrtaceae","Eucalyptus","Brazil"
"Lasiocampidae","Labedera proxima","Rosaceae","Malus sylvestris","Brazil"
"Lasiocampidae","Labedera proxima","Rosaceae","Prunus domestica","Brazil"
"Lasiocampidae","Labedera proxima","Rosaceae","Prunus persica","Brazil"
"Lasiocampidae","Labedera proxima","Rosaceae","Pyrus communis","Brazil"
"Lasiocampidae","Laeliopsis punctuligera","Combretaceae","Terminalia","East Africa"
"Lasiocampidae","Laeliopsis punctuligera","Combretaceae","Terminalia","Southern Africa"
