"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Peridroma saucia","Rosaceae","Amelanchier alnifolia","Nearctic"
"Noctuidae","Peridroma saucia","Annonaceae","Annona glabra","Nearctic"
"Noctuidae","Peridroma saucia","Umbelliferae","Apium graveolens","Cosmopolitan"
"Noctuidae","Peridroma saucia","Asparagaceae","Asparagus","Cosmopolitan"
"Noctuidae","Peridroma saucia","Asparagaceae","Asparagus asparagoides","Nearctic"
"Noctuidae","Peridroma saucia","Asparagaceae","Asparagus officinalis","Nearctic"
"Noctuidae","Peridroma saucia","Asparagaceae","Asparagus setaceus","Nearctic"
"Noctuidae","Peridroma saucia","Chenopodiaceae","Beta vulgaris","Brazil"
"Noctuidae","Peridroma saucia","Chenopodiaceae","Beta vulgaris","Nearctic"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica","Cosmopolitan"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica nigra","Nearctic"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica oleracea","Brazil"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica oleracea","Cosmopolitan"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica oleracea","Nearctic"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica rapa","Cosmopolitan"
"Noctuidae","Peridroma saucia","Cruciferae","Brassica rapa","Nearctic"
"Noctuidae","Peridroma saucia","Cruciferae","Capsella bursa-pastoris","Nearctic"
"Noctuidae","Peridroma saucia","Solanaceae","Capsicum annuum","Brazil"
"Noctuidae","Peridroma saucia","Solanaceae","Capsicum annuum","Nearctic"
"Noctuidae","Peridroma saucia","Solanaceae","Capsicum annuum","Spain"
"Noctuidae","Peridroma saucia","Compositae","Chaenactis stevioides","Nearctic"
"Noctuidae","Peridroma saucia","Compositae","Chrysanthemum","Cosmopolitan"
"Noctuidae","Peridroma saucia","Compositae","Chrysanthemum","Nearctic"
"Noctuidae","Peridroma saucia","Compositae","Cirsium","Nearctic"
"Noctuidae","Peridroma saucia","Compositae","Cirsium vulgare","Nearctic"
"Noctuidae","Peridroma saucia","Cucurbitaceae","Citrullus lanatus","Spain"
"Noctuidae","Peridroma saucia","Rutaceae","Citrus limon","Nearctic"
"Noctuidae","Peridroma saucia","Rutaceae","Citrus sinensis","Nearctic"
"Noctuidae","Peridroma saucia","Compositae","Conyza canadensis","Nearctic"
"Noctuidae","Peridroma saucia","Cucurbitaceae","Cucumis sativus","Nearctic"
