"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Saturniidae","Rothschildia aurota","Caprifoliaceae","Lonicera periclymenum","Brazil"
"Saturniidae","Rothschildia aurota","Caprifoliaceae","Lonicera semenovii","Brazil"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Manihot esculenta","Brazil"
"Saturniidae","Rothschildia aurota","Moraceae","Morus alba","Brazil"
"Saturniidae","Rothschildia aurota","Rosaceae","Prunus","Neotropical"
"Saturniidae","Rothschildia aurota","Rosaceae","Prunus persica","Brazil"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Ricinus","Neotropical"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Ricinus communis","Brazil"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Ricinus communis","Brazil"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Ricinus communis","Neotropical"
"Saturniidae","Rothschildia aurota","Annonaceae","Rollinia mucosa","Brazil"
"Saturniidae","Rothschildia aurota","Euphorbiaceae","Sapium aucuparium","Brazil"
"Saturniidae","Rothschildia aurota","Anacardiaceae","Schinus terebinthifolius","Brazil"
"Saturniidae","Rothschildia aurota","Anacardiaceae","Schinus terebinthifolius","Brazil"
"Saturniidae","Rothschildia aurota","Anacardiaceae","Spondias cytherea","Brazil"
"Saturniidae","Rothschildia aurota","Anacardiaceae","Spondias mombin","Brazil"
"Saturniidae","Rothschildia aurota","Oleaceae","Syringa vulgaris","Neotropical"
"Saturniidae","Rothschildia aurota","Rutaceae","Zanthoxylum rhoifolium","Brazil"
"Saturniidae","Rothschildia cincta","Euphorbiaceae","Jatropha","Neotropical"
"Saturniidae","Rothschildia cincta","Oleaceae","Ligustrum","Neotropical"
"Saturniidae","Rothschildia cincta","Rosaceae","Prunus serotina","Neotropical"
"Saturniidae","Rothschildia cincta","Fagaceae","Quercus","Neotropical"
"Saturniidae","Rothschildia cincta","Anacardiaceae","Schinus","Neotropical"
"Saturniidae","Rothschildia cinctus","Rutaceae","Citrus","Nearctic"
"Saturniidae","Rothschildia cinctus","Leguminosae (p)","Coursetia glandulosa","USA"
"Saturniidae","Rothschildia cinctus","Oleaceae","Fraxinus","Nearctic"
"Saturniidae","Rothschildia cinctus","Euphorbiaceae","Jatropha","USA"
"Saturniidae","Rothschildia cinctus","Euphorbiaceae","Jatropha cardiophylla","USA"
"Saturniidae","Rothschildia cinctus","Oleaceae","Ligustrum","Nearctic"
"Saturniidae","Rothschildia cinctus","Leguminosae (m)","Mimosa dysocarpa","USA"
