"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Eublemma baccalix","Convolvulaceae","Convolvulus arvensis","Old World tropics"
"Noctuidae","Eublemma baccalix","Convolvulaceae","Ipomoea tricolor","Old World tropics"
"Noctuidae","Eublemma candidana","Compositae","Santolina chamaecyparissus","Europe"
"Noctuidae","Eublemma chlorochroa","Solanaceae","Solanum","Kenya"
"Noctuidae","Eublemma chlorochroa","Solanaceae","Solanum incanum","East Africa"
"Noctuidae","Eublemma cochylioides","Compositae","Elephantopus scaber","Malaysia"
"Noctuidae","Eublemma cochylioides","Compositae","Lactuca","Réunion Island"
"Noctuidae","Eublemma cochylioides","Compositae","Lactuca sativa","Fiji"
"Noctuidae","Eublemma cochylioides","Leguminosae (p)","Vigna","Réunion Island"
"Noctuidae","Eublemma cochylioides","Leguminosae (p)","Vigna unguiculata","Fiji"
"Noctuidae","Eublemma conspersa","Insecta","Kerria (Z) lacca","Taiwan"
"Noctuidae","Eublemma deserta","Insecta","Margarodes (Z)","Mediterranean"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Cajanus cajan","Oriental"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Flemingia macrophylla","Oriental"
"Noctuidae","Eublemma dimidialis","Gramineae","Sorghum bicolor","India"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna","Australia"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna mungo","India"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna mungo","Oriental"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna mungo","West Malaysia"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna radiata","India"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna unguiculata","India"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna unguiculata","Oriental"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna unguiculata","Sri Lanka"
"Noctuidae","Eublemma dimidialis","Leguminosae (p)","Vigna unguiculata","West Malaysia"
"Noctuidae","Eublemma dimidialis","Gramineae","Zea mays","India"
"Noctuidae","Eublemma ecthaemata","Leguminosae (m)","Acacia nilotica","Kenya"
"Noctuidae","Eublemma elychrysi","Compositae","Helichrysum","Corsica"
"Noctuidae","Eublemma exigua","Compositae","Gerbera","East Africa"
"Noctuidae","Eublemma exigua","Compositae","Gerbera","Southern Africa"
"Noctuidae","Eublemma gayneri","Insecta","Asterolecanium (Z) pustulans","Old World"
