"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix decidua","Canada"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix laricina","Canada"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix laricina","Nearctic"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix laricina","Nearctic"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix occidentalis","Canada"
"Geometridae","Semiothisa sexmaculata","Pinaceae","Larix occidentalis","Nearctic"
"Geometridae","Semiothisa shanghaisaria","Salicaceae","Salix triandra","Japan"
"Geometridae","Semiothisa shanghaisaria","Salicaceae","Salix udensis","Japan"
"Geometridae","Semiothisa signaria","Pinaceae","","British Isles"
"Geometridae","Semiothisa signaria","Pinaceae","","Holarctic"
"Geometridae","Semiothisa signaria","Pinaceae","Abies","Holarctic"
"Geometridae","Semiothisa signaria","Pinaceae","Abies","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Abies balsamea","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Larix","Holarctic"
"Geometridae","Semiothisa signaria","Pinaceae","Larix","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Larix sibirica","Finland"
"Geometridae","Semiothisa signaria","Pinaceae","Picea","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Picea","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Picea abies","Finland"
"Geometridae","Semiothisa signaria","Pinaceae","Pinus","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Pseudotsuga menziesii","Nearctic"
"Geometridae","Semiothisa signaria","Pinaceae","Tsuga","Nearctic"
"Geometridae","Semiothisa simplicilinea","Leguminosae (m)","Acacia","Southern Africa"
"Geometridae","Semiothisa simplicilinea","Leguminosae (m)","Acacia mearnsii","South Africa"
"Geometridae","Semiothisa snoviata","Leguminosae (c)","Gleditsia triacanthos","Nearctic"
"Geometridae","Semiothisa sp.","Cupressaceae","Juniperus occidentalis","Nearctic"
"Geometridae","Semiothisa sp.","Leguminosae (c)","Poeppigia procera","Cuba"
"Geometridae","Semiothisa spp.","Cupressaceae","Juniperus scopulorum","Canada"
"Geometridae","Semiothisa spp.","Pinaceae","Pinus rigida","Canada"
"Geometridae","Semiothisa streniata","Leguminosae (m)","Acacia nilotica","India"
