"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Pieridae","Belenois calypso","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois calypso","Capparaceae","Capparis","East Africa"
"Pieridae","Belenois calypso","Capparaceae","Maerua","Afrotropical"
"Pieridae","Belenois calypso","Capparaceae","Maerua","East Africa"
"Pieridae","Belenois calypso","Capparaceae","Ritchiea","Afrotropical"
"Pieridae","Belenois calypso","Capparaceae","Ritchiea","East Africa"
"Pieridae","Belenois crawshayi","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois creona","Capparaceae","Boscia","Afrotropical"
"Pieridae","Belenois creona","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois creona","Capparaceae","Cleome","Afrotropical"
"Pieridae","Belenois creona","Capparaceae","Maerua","Afrotropical"
"Pieridae","Belenois creona","Capparaceae","Niebuhria","Afrotropical"
"Pieridae","Belenois gidica","Capparaceae","Boscia","Afrotropical"
"Pieridae","Belenois gidica","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois gidica","Capparaceae","Maerua","Afrotropical"
"Pieridae","Belenois gidica","Salvadoraceae","Salvadora","Afrotropical"
"Pieridae","Belenois margaritacea","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois margaritacea","Capparaceae","Maerua","Afrotropical"
"Pieridae","Belenois margaritacea","Capparaceae","Maerua","East Africa"
"Pieridae","Belenois margaritacea","Capparaceae","Ritchiea","Afrotropical"
"Pieridae","Belenois raffrayi","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois raffrayi","Capparaceae","Capparis","East Africa"
"Pieridae","Belenois raffrayi","Anacardiaceae","Rhus","Afrotropical"
"Pieridae","Belenois raffrayi","Anacardiaceae","Rhus","East Africa"
"Pieridae","Belenois solilucis","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois solilucis","Capparaceae","Capparis tomentosa","East Africa"
"Pieridae","Belenois solilucis","Capparaceae","Maerua","Afrotropical"
"Pieridae","Belenois solilucis","Capparaceae","Ritchiea","Afrotropical"
"Pieridae","Belenois subeida","Capparaceae","Capparis","Afrotropical"
"Pieridae","Belenois subeida","Capparaceae","Capparis","East Africa"
