"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Pyralidae","Conogethes punctiferalis","Convolvulaceae","Cuscuta","Australasia"
"Pyralidae","Conogethes punctiferalis","Loranthaceae","Dendrophthoe glabrescens","India"
"Pyralidae","Conogethes punctiferalis","Dilleniaceae","Dillenia indica","India"
"Pyralidae","Conogethes punctiferalis","Dilleniaceae","Dillenia indica","Sri Lanka"
"Pyralidae","Conogethes punctiferalis","Dilleniaceae","Dillenia indica","West Malaysia"
"Pyralidae","Conogethes punctiferalis","Sapindaceae","Dimocarpus longan","Thailand"
"Pyralidae","Conogethes punctiferalis","Sapindaceae","Dimocarpus longan","Thailand"
"Pyralidae","Conogethes punctiferalis","Bombacaceae","Durio zibethinus","East Malaysia"
"Pyralidae","Conogethes punctiferalis","Bombacaceae","Durio zibethinus","South-East Asia"
"Pyralidae","Conogethes punctiferalis","Bombacaceae","Durio zibethinus","Thailand"
"Pyralidae","Conogethes punctiferalis","Bombacaceae","Durio zibethinus","West Malaysia"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Elettaria cardamomum","India"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Elettaria cardamomum","India"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Elettaria cardamomum","India"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Elettaria cardamomum","Indo-Australian"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Elettaria cardamomum","Sri Lanka"
"Pyralidae","Conogethes punctiferalis","Euphorbiaceae","Endospermum diadenum","Malaysia"
"Pyralidae","Conogethes punctiferalis","Euphorbiaceae","Endospermum diadenum","West Malaysia"
"Pyralidae","Conogethes punctiferalis","Euphorbiaceae","Endospermum diadenum","West Malaysia"
"Pyralidae","Conogethes punctiferalis","Rosaceae","Eriobotrya japonica","Indo-Australian"
"Pyralidae","Conogethes punctiferalis","Zingiberaceae","Etlingera imperialis","West Malaysia"
"Pyralidae","Conogethes punctiferalis","Moraceae","Ficus carica","Indo-Australian"
"Pyralidae","Conogethes punctiferalis","Leguminosae (p)","Flemingia","Indo-Australian"
"Pyralidae","Conogethes punctiferalis","Burseraceae","Garuga pinnata","India"
"Pyralidae","Conogethes punctiferalis","Burseraceae","Garuga pinnata","India"
"Pyralidae","Conogethes punctiferalis","Burseraceae","Garuga pinnata","India"
"Pyralidae","Conogethes punctiferalis","Leguminosae (p)","Glycine max","Indo-Australian"
"Pyralidae","Conogethes punctiferalis","Malvaceae","Gossypium","Australia"
"Pyralidae","Conogethes punctiferalis","Malvaceae","Gossypium","India"
"Pyralidae","Conogethes punctiferalis","Malvaceae","Gossypium","Indo-Australian"
