"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Oecophoridae","Inga phaeocrossa","Malpighiaceae","Peixotoa goiana","Brazil"
"Oecophoridae","Inga sp. 3","Vochysiaceae","Qualea grandiflora","Brazil"
"Oecophoridae","Inga sp. 5","Vochysiaceae","Qualea parviflora","Brazil"
"Oecophoridae","Leistarcha scitissimella","Myrtaceae","Eucalyptus amygdalina","Australia"
"Oecophoridae","Lepidechidna acharnias","Compositae","Cynara scolymus","Mediterranean"
"Oecophoridae","Lepidechidna acharnias","Compositae","Cynara scolymus","North Africa"
"Oecophoridae","Lethata anophthalma","Myrtaceae","","Brazil"
"Oecophoridae","Lethata anophthalma","Erythroxylaceae","Erythroxylum suberosum","Brazil"
"Oecophoridae","Lethata anophthalma","Myrtaceae","Myrcia albotomentosa","Brazil"
"Oecophoridae","Lethata anophthalma","Myrtaceae","Psidium guajava","Brazil"
"Oecophoridae","Lethata anophthalma","Rubiaceae","Tocoyena formosa","Brazil"
"Oecophoridae","Lethata invigilans","Myrtaceae","Psidium guajava","Brazil"
"Oecophoridae","Lethata psidii","Lauraceae","Persea americana","Brazil"
"Oecophoridae","Lethata psidii","Myrtaceae","Psidium guajava","Brazil"
"Oecophoridae","Lethata spp.","Myrtaceae","Psidium guajava","Brazil"
"Oecophoridae","Levipalpus hepatariella","Compositae","Antennaria dioica","British Isles"
"Oecophoridae","Lichenaula lichenea","Lichenes","","Australasia"
"Oecophoridae","Lichenaula lichenea","Lichenes","","Australia"
"Oecophoridae","Lichenaula undulatella","Leguminosae (m)","Acacia","Australasia"
"Oecophoridae","Lichenaula undulatella","Leguminosae (m)","Acacia","Australia"
"Oecophoridae","Lichenaula undulatella","Leguminosae (p)","Jacksonia","Australasia"
"Oecophoridae","Lichenaula undulatella","Leguminosae (p)","Jacksonia","Australia"
"Oecophoridae","Linoclostis gonatias","Theaceae","Camellia sinensis","Oriental"
"Oecophoridae","Lophopepla igniferella","Myrtaceae","Melaleuca cajuputi","Australia"
"Oecophoridae","Lophopepla sp. B","Myrtaceae","Melaleuca viridiflora","Australia"
"Oecophoridae","Loxotoma elegans","Palmae","Cocos nucifera","Oriental"
"Oecophoridae","Luquetia lobella","Rosaceae","Prunus spinosa","British Isles"
"Oecophoridae","Luquetia lobella","Rosaceae","Prunus spinosa","Palaearctic"
"Oecophoridae","Machaeritis calligenes","Lichenes","","Australia"
"Oecophoridae","Machimia absumptella","Myrtaceae","Eucalyptus microcorys","Australia"
