"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Pyralidae","Tetridia caletoralis","Dipterocarpaceae","Shorea robusta","India"
"Pyralidae","Thiallela ligeralis","Sapotaceae","Manilkara zapota","Pakistan"
"Pyralidae","Thiallela ligeralis","Rosaceae","Pyrus communis","Oriental"
"Pyralidae","Thisanotia chrysonuchella","Gramineae","","British Isles"
"Pyralidae","Thisanotia chrysonuchella","Gramineae","Festuca ovina","British Isles"
"Pyralidae","Thisanotia chrysonuchella","Gramineae","Poa","British Isles"
"Pyralidae","Thliptoceras fimbriata","Gramineae","Bambusa","India"
"Pyralidae","Thliptoceras longicornalis","Rubiaceae","Coffea","Madagascar"
"Pyralidae","Thliptoceras longicornalis","Rubiaceae","Coffea","Zaire"
"Pyralidae","Thopeutis criella","Leguminosae (p)","Genista pilosa","Palaearctic"
"Pyralidae","Thopeutis forbesellus","Polyphagous","","USA"
"Pyralidae","Thopeutis forbesellus","Cyperaceae","Scirpus","Nearctic"
"Pyralidae","Thylacoptila cavifrontella","Leguminosae (c)","Caesalpinia","Oriental"
"Pyralidae","Thylacoptila cavifrontella","Leguminosae (c)","Caesalpinia sappan","India"
"Pyralidae","Thylacoptila cavifrontella","Verbenaceae","Clerodendrum serratum","India"
"Pyralidae","Thylacoptila cavifrontella","Sterculiaceae","Melochia","Oriental"
"Pyralidae","Thylacoptila cavifrontella","Leguminosae (c)","Peltophorum","Oriental"
"Pyralidae","Thylacoptila cavifrontella","Leguminosae (c)","Peltophorum pterocarpum","India"
"Pyralidae","Thylacoptila cavifrontella","Leguminosae (c)","Senna siamea","Oriental"
"Pyralidae","Thylacoptila paurosema","Anacardiaceae","Anacardium occidentale","Oriental"
"Pyralidae","Thylacoptila paurosema","Anacardiaceae","Anacardium occidentale","Pantropical"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Caesalpinia","Afrotropical"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Cassia fistula","India"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Cassia fistula","Pantropical"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Cassia fistula","Thailand"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Senna alata","West Malaysia"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Senna bicapsularis","Oriental"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Senna hirsuta","Afrotropical"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Senna hirsuta","West Malaysia"
"Pyralidae","Thylacoptila paurosema","Leguminosae (c)","Senna obtusifolia","Andaman Islands"
