"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Gracillariidae","Phyllonorycter distentella","Fagaceae","Quercus robur","Hungary"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Gaylussacia","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Gaylussacia","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Gaylussacia baccata","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Gaylussacia baccata","USA"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Gaylussacia frondosa","USA"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Oxydendrum","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Oxydendrum","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Oxydendrum arboreum","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Oxydendrum arboreum","USA"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Vaccinium","Nearctic"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Vaccinium","USA"
"Gracillariidae","Phyllonorycter diversella","Ericaceae","Vaccinium corymbosum","USA"
"Gracillariidae","Phyllonorycter drepanota","Simaroubaceae","Ailanthus malabarica","India"
"Gracillariidae","Phyllonorycter drepanota","Simaroubaceae","Ailanthus malabarica","Japan"
"Gracillariidae","Phyllonorycter drepanota","Simaroubaceae","Ailanthus malabarica?","India"
"Gracillariidae","Phyllonorycter dubitella","Salicaceae","Salix","British Isles"
"Gracillariidae","Phyllonorycter dubitella","Salicaceae","Salix caprea","British Isles"
"Gracillariidae","Phyllonorycter dubitella","Salicaceae","Salix caprea","Palaearctic"
"Gracillariidae","Phyllonorycter durangensis","Betulaceae","Alnus","Mexico"
"Gracillariidae","Phyllonorycter elmaella","Polyphagous","","Nearctic"
"Gracillariidae","Phyllonorycter elmaella","Rosaceae","Crataegus","USA"
"Gracillariidae","Phyllonorycter elmaella","Rosaceae","Malus","USA"
"Gracillariidae","Phyllonorycter elmaella","Rosaceae","Malus pumila","Nearctic"
"Gracillariidae","Phyllonorycter elmaella","Rosaceae","Malus sylvestris","Canada"
"Gracillariidae","Phyllonorycter emberizaepenella","Caprifoliaceae","Leycesteria","British Isles"
"Gracillariidae","Phyllonorycter emberizaepenella","Caprifoliaceae","Lonicera","British Isles"
"Gracillariidae","Phyllonorycter emberizaepenella","Caprifoliaceae","Lonicera","Holarctic"
"Gracillariidae","Phyllonorycter emberizaepenella","Caprifoliaceae","Lonicera japonica","USA"
"Gracillariidae","Phyllonorycter emberizaepenella","Caprifoliaceae","Lonicera periclymenum","British Isles"
