"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lasiocampidae","Malacosoma neustria","Fagaceae","Quercus mongolica","Japan"
"Lasiocampidae","Malacosoma neustria","Fagaceae","Quercus variabilis","Japan"
"Lasiocampidae","Malacosoma neustria","Rosaceae","Rosa","Palaearctic"
"Lasiocampidae","Malacosoma neustria","Rosaceae","Rubus","Palaearctic"
"Lasiocampidae","Malacosoma neustria","Salicaceae","Salix","Europe"
"Lasiocampidae","Malacosoma neustria","Salicaceae","Salix","Palaearctic"
"Lasiocampidae","Malacosoma neustria","Oleaceae","Syringa vulgaris","Palaearctic"
"Lasiocampidae","Malacosoma neustria","Ulmaceae","Ulmus","British Isles"
"Lasiocampidae","Malacosoma neustria","Ulmaceae","Ulmus","Palaearctic"
"Lasiocampidae","Malacosoma spp.","Polyphagous","","Canada"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus","Nearctic"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus gambelii","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus ilicifolia","Nearctic"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus macrocarpa","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus marilandica","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus stellata","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus turbinella","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus undulata","USA"
"Lasiocampidae","Malacosoma tigris","Fagaceae","Quercus virginiana","USA"
"Lasiocampidae","Mallocampa audea","Zingiberaceae","Aframomum","East Africa"
"Lasiocampidae","Mallocampa audea","Zingiberaceae","Aframomum melegueta","East Africa"
"Lasiocampidae","Mallocampa audea","Zingiberaceae","Elettaria cardamomum","East Africa"
"Lasiocampidae","Mallocampa sp.","Annonaceae","Monanthotaxis caffra","Southern Africa"
"Lasiocampidae","Megasoma acuminata","Leguminosae (m)","Acacia gerrardii","Southern Africa"
"Lasiocampidae","Mesocelis montana","Leguminosae (p)","Aspalathus","Southern Africa"
"Lasiocampidae","Mesocelis montana","Sterculiaceae","Hermannia","Southern Africa"
"Lasiocampidae","Mesocelis montana","Pinaceae","Pinus","Southern Africa"
"Lasiocampidae","Mesocelis montana","Iridaceae","Watsonia","Southern Africa"
"Lasiocampidae","Metanastria","Lauraceae","Persea americana","Thailand"
