"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana","Australasia"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana","Australia"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana","Hawaii"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana","New Guinea"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Australasia"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Australia"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Caroline Islands"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Hawaii"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","India"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Micronesia"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","Nearctic"
"Tortricidae","Epinotia lantana","Verbenaceae","Lantana camara","USA"
"Tortricidae","Epinotia lantana","Sapindaceae","Litchi chinensis","Hawaii"
"Tortricidae","Epinotia lantana","Sapindaceae","Nephelium litchi","Nearctic"
"Tortricidae","Epinotia lantana","Bignoniaceae","Tabebuia chrysantha","Hawaii"
"Tortricidae","Epinotia lantana","Bignoniaceae","Tabebuia chrysantha","Nearctic"
"Tortricidae","Epinotia lantana","Bignoniaceae","Tecoma stans","Hawaii"
"Tortricidae","Epinotia lantana","Bignoniaceae","Tecoma stans","Nearctic"
"Tortricidae","Epinotia lindana","Betulaceae","Betula","Canada"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus","Nearctic"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus alternifolia","Canada"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus florida","USA"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus racemosa","Nearctic"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus sericea","Canada"
"Tortricidae","Epinotia lindana","Cornaceae","Cornus sericea","Nearctic"
"Tortricidae","Epinotia lomonana","Aceraceae","Acer circinatum","Canada"
"Tortricidae","Epinotia lomonana","Rhamnaceae","Frangula californica","USA"
"Tortricidae","Epinotia lomonana","Salicaceae","Populus tremuloides","Canada"
"Tortricidae","Epinotia lomonana","Rosaceae","Prunus ilicifolia","USA"
"Tortricidae","Epinotia lomonana","Rosaceae","Prunus pensylvanica","Canada"
