"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Geometridae","Caripeta angustiorata","Pinaceae","Pinus strobus","Nearctic"
"Geometridae","Caripeta angustiorata","Pinaceae","Pinus strobus","USA"
"Geometridae","Caripeta angustiorata","Pinaceae","Pinus sylvestris","Canada"
"Geometridae","Caripeta angustiorata","Pinaceae","Pseudotsuga menziesii","Canada"
"Geometridae","Caripeta aretaria","Pinaceae","Pinus","Nearctic"
"Geometridae","Caripeta aretaria","Pinaceae","Pinus resinosa","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Abies","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Abies amabilis","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Abies balsamea","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Abies balsamea","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Abies balsamea","USA"
"Geometridae","Caripeta divisata","Pinaceae","Abies grandis","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Abies lasiocarpa","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Abies lasiocarpa","Nearctic"
"Geometridae","Caripeta divisata","Balsaminaceae","Impatiens","USA"
"Geometridae","Caripeta divisata","Pinaceae","Larix","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Larix laricina","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Larix laricina","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Larix occidentalis","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Larix occidentalis","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Picea","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Picea","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Picea engelmannii","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Picea glauca","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Picea glauca","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Picea mariana","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Picea mariana","Nearctic"
"Geometridae","Caripeta divisata","Pinaceae","Picea rubens","Canada"
"Geometridae","Caripeta divisata","Pinaceae","Picea rubens","Nearctic"
