"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Megalopygidae","Megalopyge pyxidifera","Ulmaceae","Celtis","USA"
"Megalopygidae","Megalopyge pyxidifera","Rosaceae","Prunus","USA"
"Megalopygidae","Megalopyge pyxidifera","Rosaceae","Pyrus","Nearctic"
"Megalopygidae","Megalopyge pyxidifera","Fagaceae","Quercus","Nearctic"
"Megalopygidae","Megalopyge pyxidifera","Fagaceae","Quercus","USA"
"Megalopygidae","Megalopyge pyxidifera","Ericaceae","Vaccinium","Nearctic"
"Megalopygidae","Megalopyge pyxidifera","Ericaceae","Vaccinium","USA"
"Megalopygidae","Megalopyge radiata","Rutaceae","Citrus sinensis","Brazil"
"Megalopygidae","Megalopyge radiata","Myrtaceae","Eucalyptus","Brazil"
"Megalopygidae","Megalopyge radiata","Geraniaceae","Pelargonium zonale","Brazil"
"Megalopygidae","Megalopyge radiata","Rosaceae","Prunus domestica","Brazil"
"Megalopygidae","Megalopyge sp.","Apocynaceae","Aspidosperma tomentosum","Brazil"
"Megalopygidae","Megalopyge tharops","Lauraceae","Persea","Belize"
"Megalopygidae","Megalopyge undulata","Rosaceae","Rosa","Brazil"
"Megalopygidae","Megalopyge undulata","Verbenaceae","Stachytarpheta cajanensis","Brazil"
"Megalopygidae","Megalopyge undulata","Melastomataceae","Tibouchina","Brazil"
"Megalopygidae","Megalopyge urens","Caricaceae","Carica papaya","Brazil"
"Megalopygidae","Megalopyge urens","Meliaceae","Cedrela fissilis","Brazil"
"Megalopygidae","Megalopyge urens","Rutaceae","Citrus limonia","Brazil"
"Megalopygidae","Megalopyge urens","Rutaceae","Citrus reticulata","Brazil"
"Megalopygidae","Megalopyge urens","Rutaceae","Citrus sinensis","Brazil"
"Megalopygidae","Megalopyge urens","Malvaceae","Hibiscus rosa-sinensis","Brazil"
"Megalopygidae","Megalopyge urens","Aquifoliaceae","Ilex paraguariensis","Brazil"
"Megalopygidae","Megalopyge urens","Lythraceae","Lagerstroemia indica","Brazil"
"Megalopygidae","Megalopyge urens","Lythraceae","Lagerstroemia speciosa","Brazil"
"Megalopygidae","Megalopyge urens","Lauraceae","Persea americana","Brazil"
"Megalopygidae","Megalopyge urens","Lauraceae","Persea americana","Brazil"
"Megalopygidae","Megalopyge urens","Platanaceae","Platanus","Brazil"
"Megalopygidae","Megalopyge urens","Salicaceae","Populus x canadensis","Brazil"
"Megalopygidae","Megalopyge urens","Rosaceae","Prunus persica","Brazil"
