"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lasiocampidae","Tolype distincta?","Fagaceae","Quercus chrysolepis","Nearctic"
"Lasiocampidae","Tolype glenwoodii","Rosaceae","Cercocarpus betuloides","USA"
"Lasiocampidae","Tolype glenwoodii","Rosaceae","Cercocarpus montanus","Nearctic"
"Lasiocampidae","Tolype glenwoodii","Fagaceae","Quercus gambelii","USA"
"Lasiocampidae","Tolype guentheri","Leguminosae (m)","Acacia macracantha","Argentina"
"Lasiocampidae","Tolype guentheri","Urticaceae","Boehmeria caudata","Argentina"
"Lasiocampidae","Tolype guentheri","Leguminosae (m)","Prosopis","Argentina"
"Lasiocampidae","Tolype guentheri","Leguminosae (m)","Prosopis alba","Argentina"
"Lasiocampidae","Tolype guentheri","Leguminosae (m)","Prosopis nigra","Argentina"
"Lasiocampidae","Tolype guentheri","Salicaceae","Salix","Argentina"
"Lasiocampidae","Tolype hella","Myrsinaceae","","Brazil"
"Lasiocampidae","Tolype laricis","Pinaceae","Abies","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Abies balsamea","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix laricina","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix laricina","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix laricina","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix laricina","USA"
"Lasiocampidae","Tolype laricis","Pinaceae","Larix laricina","USA"
"Lasiocampidae","Tolype laricis","Pinaceae","Picea","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Picea","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Picea abies","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Picea glauca","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Picea mariana","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Pinus","Nearctic"
"Lasiocampidae","Tolype laricis","Pinaceae","Pinus banksiana","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Pinus resinosa","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Pinus rigida","Canada"
"Lasiocampidae","Tolype laricis","Pinaceae","Pinus strobus","Canada"
