"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Lotus","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Medicago sativa","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Melilotus indicus","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Melilotus officinalis","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (m)","Mimosa","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (m)","Prosopis","Nearctic"
"Lycaenidae","Hemiargus isola","Leguminosae (m)","Prosopis","USA"
"Lycaenidae","Hemiargus isola","Leguminosae (m)","Prosopis glandulosa","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (m)","Prosopis glandulosa","USA"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Psorothamnus scoparius","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Trifolium fragiferum","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Trifolium longipes","New World"
"Lycaenidae","Hemiargus isola","Leguminosae (p)","Trifolium repens","New World"
"Lycaenidae","Hemiargus thomasi","Rubiaceae","","Neotropical"
"Lycaenidae","Hemiargus thomasi","Leguminosae","","Neotropical"
"Lycaenidae","Hemiargus thomasi","Sapindaceae","","Neotropical"
"Lycaenidae","Hemiargus thomasi","Leguminosae (c)","Caesalpinia","USA"
"Lycaenidae","Hemiargus thomasi","Leguminosae (c)","Caesalpinia bahamensis","Cuba"
"Lycaenidae","Hemiargus thomasi","Leguminosae (c)","Caesalpinia bonduc","New World"
"Lycaenidae","Hemiargus thomasi","Sapindaceae","Cardiospermum halicacabum","New World"
"Lycaenidae","Hemiargus thomasi","Sapindaceae","Cardiospermum halicacabum","USA"
"Lycaenidae","Hemiargus thomasi","Sapindaceae","Cardiospermum halicacabum","USA"
"Lycaenidae","Hemiargus thomasi","Rubiaceae","Chiococca alba","New World"
"Lycaenidae","Hemiargus thomasi","Leguminosae (m)","Pithecellobium","USA"
"Lycaenidae","Hemiargus thomasi","Leguminosae (m)","Pithecellobium keyense","New World"
"Lycaenidae","Hemiolaus caeculus","Olacaceae","","Afrotropical"
"Lycaenidae","Heodes virgaureae","Polygonaceae","Rumex","Finland"
"Lycaenidae","Heodes virgaureae","Polygonaceae","Rumex acetosella","Finland"
"Lycaenidae","Hermelycaena hermes","Rhamnaceae","Rhamnus crocea","USA"
"Lycaenidae","Hermelycaena hermes","Rhamnaceae","Rhamnus crocea","USA"
