"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Lymantriidae","Parocneria detrita","Fagaceae","Quercus","Austria"
"Lymantriidae","Parocneria furva","Cupressaceae","Juniperus","Japan"
"Lymantriidae","Parocneria furva","Cupressaceae","Thujopsis dolabrata","Japan"
"Lymantriidae","Parocneria raddei","Anacardiaceae","Pistacia atlantica","Iraq"
"Lymantriidae","Parocneria terebynthi","Anacardiaceae","Pistacia","Palaearctic"
"Lymantriidae","Parocneria terebynthina","Anacardiaceae","Pistacia","Palaearctic"
"Lymantriidae","Parocneria terebynthina","Anacardiaceae","Pistacia vera","Iran"
"Lymantriidae","Penthophera morio","Detritophagous","","Palaearctic"
"Lymantriidae","Penthophera morio","Gramineae","","Palaearctic"
"Lymantriidae","Penthophera morio","Gramineae","","Palaearctic"
"Lymantriidae","Perina munda","Moraceae","Ficus microcarpa","Hong Kong"
"Lymantriidae","Perina nuda","Acanthaceae","","India"
"Lymantriidae","Perina nuda","Acanthaceae","","Sri Lanka"
"Lymantriidae","Perina nuda","Moraceae","Artocarpus integer","Oriental"
"Lymantriidae","Perina nuda","Moraceae","Artocarpus integrifolia","India"
"Lymantriidae","Perina nuda","Moraceae","Artocarpus integrifolia","Sri Lanka"
"Lymantriidae","Perina nuda","Moraceae","Ficus","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus benghalensis","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus benghalensis","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus benjamina","Thailand"
"Lymantriidae","Perina nuda","Moraceae","Ficus carica","Oriental"
"Lymantriidae","Perina nuda","Moraceae","Ficus elastica","Hong Kong"
"Lymantriidae","Perina nuda","Moraceae","Ficus microcarpa","Hong Kong"
"Lymantriidae","Perina nuda","Moraceae","Ficus microcarpa","Thailand"
"Lymantriidae","Perina nuda","Moraceae","Ficus pumila","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus racemosa","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus racemosa","India"
"Lymantriidae","Perina nuda","Moraceae","Ficus racemosa","Oriental"
"Lymantriidae","Perina nuda","Moraceae","Ficus religiosa","India"
