"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Anuga constricta","Anacardiaceae","Mangifera indica","West Malaysia"
"Noctuidae","Anuga constricta","Anacardiaceae","Semecarpus","India"
"Noctuidae","Anuga indigofera","Leguminosae (p)","Cajanus","Oriental"
"Noctuidae","Anuga indigofera","Anacardiaceae","Holigarna","Oriental"
"Noctuidae","Anuga indigofera","Anacardiaceae","Semecarpus","Oriental"
"Noctuidae","Anuga multiplicans","Leguminosae (p)","Cajanus cajan","India"
"Noctuidae","Anuga multiplicans","Anacardiaceae","Holigarna arnottiana","India"
"Noctuidae","Anuga multiplicans","Anacardiaceae","Holigarna arnottiana","India"
"Noctuidae","Anuga multiplicans","Anacardiaceae","Rhus hypoleuca","Hong Kong"
"Noctuidae","Anuga multiplicans","Anacardiaceae","Semecarpus anacardium","India"
"Noctuidae","Anuga multiplicans","Anacardiaceae","Semecarpus anacardium","South-East Asia"
"Noctuidae","Apamea albina","Detritophagous","","USA"
"Noctuidae","Apamea albina","Polyphagous","","USA"
"Noctuidae","Apamea alia","Gramineae","","Nearctic"
"Noctuidae","Apamea alia","Gramineae","","USA"
"Noctuidae","Apamea alia","Rosaceae","Amelanchier canadensis","Nearctic"
"Noctuidae","Apamea alia","Betulaceae","Betula","Nearctic"
"Noctuidae","Apamea alia","Juglandaceae","Carya","Nearctic"
"Noctuidae","Apamea alia","Rosaceae","Malus pumila","Nearctic"
"Noctuidae","Apamea alia","Rosaceae","Malus pumila","USA"
"Noctuidae","Apamea alia","Fagaceae","Quercus","Nearctic"
"Noctuidae","Apamea alia","Salicaceae","Salix","Nearctic"
"Noctuidae","Apamea alia","Lauraceae","Sassafras albidum","Nearctic"
"Noctuidae","Apamea amputatrix","Polyphagous","","Nearctic"
"Noctuidae","Apamea amputatrix","Gramineae","Avena sativa","Nearctic"
"Noctuidae","Apamea amputatrix","Cruciferae","Brassica oleracea","Nearctic"
"Noctuidae","Apamea amputatrix","Compositae","Lactuca sativa","Nearctic"
"Noctuidae","Apamea amputatrix","Solanaceae","Nicotiana","Nearctic"
"Noctuidae","Apamea amputatrix","Grossulariaceae","Ribes rubrum","Nearctic"
"Noctuidae","Apamea amputatrix","Rosaceae","Rosa","Nearctic"
