"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Tortricidae","Ancylis apicana","Rosaceae","Crataegus","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Fragaria","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Fragaria","Nearctic"
"Tortricidae","Ancylis apicana","Ericaceae","Gaylussacia baccata","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Malus","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Prunus serotina","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Pyrus","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Rubus","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Rubus fruticosus","Nearctic"
"Tortricidae","Ancylis apicana","Rosaceae","Rubus idaeus","Nearctic"
"Tortricidae","Ancylis apicella","Rhamnaceae","Frangula alnus","Palaearctic"
"Tortricidae","Ancylis apicella","Rhamnaceae","Rhamnus","British Isles"
"Tortricidae","Ancylis aromatias","Rhamnaceae","Ziziphus mauritiana","India"
"Tortricidae","Ancylis aromatias","Rhamnaceae","Ziziphus mauritiana","Oriental"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Lathyrus","British Isles"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Lathyrus","Palaearctic"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Trifolium","British Isles"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Trifolium","Japan"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Vicia","British Isles"
"Tortricidae","Ancylis badiana","Leguminosae (p)","Vicia","Palaearctic"
"Tortricidae","Ancylis bauhiniae","Leguminosae (c)","Bauhinia glabra","Neotropical"
"Tortricidae","Ancylis bauhiniae","Leguminosae (c)","Bauhinia variegata","Cuba"
"Tortricidae","Ancylis brauni","Rhamnaceae","Rhamnus","Nearctic"
"Tortricidae","Ancylis brauni","Rhamnaceae","Rhamnus alnifolia","Nearctic"
"Tortricidae","Ancylis brauni","Rhamnaceae","Rhamnus lanceolata","Nearctic"
"Tortricidae","Ancylis burgessiana","Fagaceae","Castanea","Nearctic"
"Tortricidae","Ancylis burgessiana","Fagaceae","Castanea pumila","Nearctic"
"Tortricidae","Ancylis burgessiana","Fagaceae","Castanea sativa","Nearctic"
"Tortricidae","Ancylis burgessiana","Fagaceae","Castanopsis","Nearctic"
"Tortricidae","Ancylis burgessiana","Corylaceae","Corylus","Canada"
