"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Tortricidae","Episimus tyrius","Aceraceae","Acer","Nearctic"
"Tortricidae","Episimus tyrius","Aceraceae","Acer rubrum","Nearctic"
"Tortricidae","Episimus tyrius","Aceraceae","Acer rubrum","USA"
"Tortricidae","Episimus tyrius","Aceraceae","Acer saccharinum","Nearctic"
"Tortricidae","Episimus tyrius","Aceraceae","Acer saccharinum","Nearctic"
"Tortricidae","Episimus tyrius","Aceraceae","Acer saccharinum","Nearctic"
"Tortricidae","Episimus tyrius","Aceraceae","Acer saccharinum","USA"
"Tortricidae","Episimus tyrius","Rosaceae","Prunus","Nearctic"
"Tortricidae","Episimus tyrius","Rosaceae","Prunus caroliniana","Nearctic"
"Tortricidae","Episimus tyrius","Rosaceae","Prunus caroliniana","USA"
"Tortricidae","Episimus utilis","Anacardiaceae","Schinus terebinthifolius","Hawaii"
"Tortricidae","Episimus utilis","Anacardiaceae","Schinus terebinthifolius","USA"
"Tortricidae","Epitymbia cosmota","Myrtaceae","Eucalyptus","Australia"
"Tortricidae","Epitymbia sp.","Myrtaceae","Eucalyptus","Australia"
"Tortricidae","Epitymbia spp.","Myrtaceae","Eucalyptus","Australia"
"Tortricidae","Ericodesma","Filicopsida","","Chatham Islands"
"Tortricidae","Ericodesma","Filicopsida","","New Zealand"
"Tortricidae","Ericodesma scruposa","Filicopsida","","New Zealand"
"Tortricidae","Eriopsela quadrana","Dipsacaceae","Scabiosa","Palaearctic"
"Tortricidae","Eriopsela quadrana","Compositae","Solidago virga-aurea","British Isles"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Euphorbia","Nearctic"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Euphorbia","USA"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Gymnanthes lucida","Puerto Rico"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Stillingia","Nearctic"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Stillingia","USA"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Stillingia sylvatica","Nearctic"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Stillingia sylvatica","Nearctic"
"Tortricidae","Ethelgoda texanana","Euphorbiaceae","Stillingia sylvatica","USA"
"Tortricidae","Eucoenogenes aestuosa","Fagaceae","Castanea crenata","Japan"
"Tortricidae","Eucoenogenes aestuosa","Fagaceae","Castanea crenata","Japan"
