"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Diachrysia chrysitis","Polyphagous","","British Isles"
"Noctuidae","Diachrysia chrysitis","Polyphagous","","Palaearctic"
"Noctuidae","Diachrysia chrysitis","Umbelliferae","Anthriscus sylvestris","Finland"
"Noctuidae","Diachrysia chrysitis","Boraginaceae","Cynoglossum officinale","Finland"
"Noctuidae","Diachrysia chrysitis","Labiatae","Galeopsis tetrahit","Finland"
"Noctuidae","Diachrysia chrysitis","Compositae","Hypochaeris maculata","Finland"
"Noctuidae","Diachrysia chrysitis","Labiatae","Lamium album","Finland"
"Noctuidae","Diachrysia chrysitis","Plantaginaceae","Plantago major","Finland"
"Noctuidae","Diachrysia chrysitis","Boraginaceae","Symphytum officinale","Finland"
"Noctuidae","Diachrysia chrysitis","Leguminosae (p)","Trifolium repens","Palaearctic"
"Noctuidae","Diachrysia chrysitis","Urticaceae","Urtica","British Isles"
"Noctuidae","Diachrysia chrysitis","Urticaceae","Urtica dioica","Finland"
"Noctuidae","Diachrysia chrysitis","Urticaceae","Urtica dioica","Palaearctic"
"Noctuidae","Diachrysia chryson","Compositae","Eupatorium cannabinum","British Isles"
"Noctuidae","Diaphone eumela","Amaryllidaceae","","East Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Albuca","East Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Albuca","South Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Albuca","Southern Africa"
"Noctuidae","Diaphone eumela","Alliaceae","Allium cepa","Uganda"
"Noctuidae","Diaphone eumela","Zingiberaceae","Amomum","East Africa"
"Noctuidae","Diaphone eumela","Amaryllidaceae","Crinum","East Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Dipcadi viride","Southern Africa"
"Noctuidae","Diaphone eumela","Amaryllidaceae","Hippeastrum","East Africa"
"Noctuidae","Diaphone eumela","Musaceae","Musa paradisiaca","Uganda"
"Noctuidae","Diaphone eumela","Musaceae","Musa sapientum","East Africa"
"Noctuidae","Diaphone eumela","Musaceae","Musa x paradisiaca","East Africa"
"Noctuidae","Diaphone eumela","Musaceae","Musa x paradisiaca","Uganda"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Ornithogalum","South Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Ornithogalum","Southern Africa"
"Noctuidae","Diaphone eumela","Hyacinthaceae","Ornithogalum sordidum","East Africa"
