"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Sphingidae","Theretra orpheus","Orchidaceae","","East Africa"
"Sphingidae","Theretra orpheus","Orchidaceae","","East Africa"
"Sphingidae","Theretra orpheus","Orchidaceae","Aerangis","East Africa"
"Sphingidae","Theretra orpheus","Orchidaceae","Ansellia africana","Southern Africa"
"Sphingidae","Theretra orpheus","Orchidaceae","Polystachya","East Africa"
"Sphingidae","Theretra pallicosta","Theaceae","Camellia sinensis","India"
"Sphingidae","Theretra pallicosta","Vitaceae","Vitis","India"
"Sphingidae","Theretra silhetensis","Araceae","","Indo-Australian"
"Sphingidae","Theretra silhetensis","Chenopodiaceae","","Indo-Australian"
"Sphingidae","Theretra silhetensis","Nyctaginaceae","","Indo-Australian"
"Sphingidae","Theretra silhetensis","Onagraceae","","Indo-Australian"
"Sphingidae","Theretra silhetensis","Rosaceae","","Indo-Australian"
"Sphingidae","Theretra silhetensis","Araceae","Arum","India"
"Sphingidae","Theretra silhetensis","Araceae","Arum","India"
"Sphingidae","Theretra silhetensis","Nyctaginaceae","Boerhavia","Fiji"
"Sphingidae","Theretra silhetensis","Nyctaginaceae","Boerhavia","India"
"Sphingidae","Theretra silhetensis","Araceae","Caladium","Thailand"
"Sphingidae","Theretra silhetensis","Araceae","Colocasia antiquorum","India"
"Sphingidae","Theretra silhetensis","Araceae","Colocasia esculenta","Fiji"
"Sphingidae","Theretra silhetensis","Araceae","Colocasia esculenta","Indo-Australian"
"Sphingidae","Theretra silhetensis","Convolvulaceae","Ipomoea","Indo-Australian"
"Sphingidae","Theretra silhetensis","Convolvulaceae","Ipomoea aquatica","Thailand"
"Sphingidae","Theretra silhetensis","Onagraceae","Ludwigia","India"
"Sphingidae","Theretra silhetensis","Onagraceae","Ludwigia adscendens","Indonesia"
"Sphingidae","Theretra silhetensis","Onagraceae","Ludwigia repens","India"
"Sphingidae","Theretra silhetensis","Onagraceae","Ludwigia repens","Thailand"
"Sphingidae","Theretra silhetensis","Sapotaceae","Madhuca indica","West Malaysia"
"Sphingidae","Theretra silhetensis","Araceae","Pistia stratiotes","New Guinea"
"Sphingidae","Theretra silhetensis","Rosaceae","Rosa","Thailand"
"Sphingidae","Theretra silhetensis","Trapaceae","Trapa bicornis","Thailand"
