"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Nymphalidae","Euphydryas chalcedona","Valerianaceae","Plectritis","USA"
"Nymphalidae","Euphydryas chalcedona","Valerianaceae","Plectritis","USA"
"Nymphalidae","Euphydryas chalcedona","Rosaceae","Rosa blanda","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Rosaceae","Rosa carolina","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Rosaceae","Rosa minutifolia","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Scrophularia","USA"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Scrophularia californica","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Scrophularia californica","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Scrophularia californica","USA"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Scrophularia californica","USA"
"Nymphalidae","Euphydryas chalcedona","Labiatae","Stachys palustris","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos","USA"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos albus","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos albus","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos albus","USA"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos albus","USA"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos mollis","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos oreophilus","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos oreophilus","USA"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos oreophilus ?","USA"
"Nymphalidae","Euphydryas chalcedona","Caprifoliaceae","Symphoricarpos rotundifolius","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Labiatae","Trichostema lanatum","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Labiatae","Trichostema lanatum","USA"
"Nymphalidae","Euphydryas chalcedona","Labiatae","Trichostema lanatum","USA"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Verbascum thapsus","Nearctic"
"Nymphalidae","Euphydryas chalcedona","Scrophulariaceae","Veronica anagallis-aquatica","Nearctic"
"Nymphalidae","Euphydryas editha","Scrophulariaceae","Castilleja","Nearctic"
"Nymphalidae","Euphydryas editha","Scrophulariaceae","Castilleja","USA"
"Nymphalidae","Euphydryas editha","Scrophulariaceae","Castilleja","USA"
