"Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country"
"Noctuidae","Mecodina subcostalis","Bombacaceae","Durio zibethinus","West Malaysia"
"Noctuidae","Mecodina subcostalis","Sapindaceae","Nephelium lappaceum","Thailand"
"Noctuidae","Mecodina subcostalis","Sterculiaceae","Theobroma","Sabah"
"Noctuidae","Mecodinops anceps","Moraceae","Ficus","Madagascar"
"Noctuidae","Megalodes eximia","Malvaceae","Malva","Turkey"
"Noctuidae","Megalographa biloba","Cruciferae","","Nearctic"
"Noctuidae","Megalographa biloba","Leguminosae","","Nearctic"
"Noctuidae","Megalographa biloba","Scrophulariaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Solanaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Compositae","","Nearctic"
"Noctuidae","Megalographa biloba","Gramineae","","Nearctic"
"Noctuidae","Megalographa biloba","Labiatae","","Nearctic"
"Noctuidae","Megalographa biloba","Musaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Urticaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Verbenaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Geraniaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Iridaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Ranunculaceae","","Nearctic"
"Noctuidae","Megalographa biloba","Polyphagous","","Nearctic"
"Noctuidae","Megalographa biloba","Polyphagous","","Nearctic"
"Noctuidae","Megalographa biloba","Polyphagous","","Palaearctic"
"Noctuidae","Megalographa biloba","Polyphagous","","USA"
"Noctuidae","Megalographa biloba","Cruciferae","Brassica oleracea","Nearctic"
"Noctuidae","Megalographa biloba","Compositae","Centaurea solstitialis","Nearctic"
"Noctuidae","Megalographa biloba","Scrophulariaceae","Collinsia","USA"
"Noctuidae","Megalographa biloba","Scrophulariaceae","Collinsia heterophylla","USA"
"Noctuidae","Megalographa biloba","Ranunculaceae","Delphinium","Nearctic"
"Noctuidae","Megalographa biloba","Geraniaceae","Geranium","Nearctic"
"Noctuidae","Megalographa biloba","Iridaceae","Gladiolus","Nearctic"
"Noctuidae","Megalographa biloba","Compositae","Helianthus","Nearctic"
